FDID,INC_TYPE,DISTRICT,PROP_LOSS,CONT_LOSS,PROP_VAL,CONT_VAL,PROP_USE,RESPONSE_TIME,FIRE_CLEARANCE_TIME,MONTH,HOUR
1005,111,270,20000.0,20000.0,20000.0,20000.0,161,0.0,147.0,7,9
1005,151,270,0.0,0.0,0.0,0.0,965,5.0,6.0,8,23
1005,140,270,0.0,0.0,0.0,0.0,937,7.0,4.0,8,1
1005,151,270,0.0,0.0,0.0,0.0,965,5.0,3.0,8,22
1005,151,270,0.0,0.0,0.0,0.0,922,4.0,11.0,9,6
1005,150,270,1000.0,10000.0,1000.0,10000.0,962,6.0,42.0,9,23
1005,151,270,0.0,0.0,0.0,0.0,900,8.0,15.0,9,19
1005,111,270,0.0,50.0,0.0,50.0,429,5.0,29.0,9,4
1005,150,270,100.0,50.0,100.0,50.0,931,5.0,32.0,9,14
1005,151,270,0.0,0.0,0.0,0.0,961,3.0,6.0,9,20
1005,132,270,40000.0,0.0,40000.0,0.0,962,11.0,67.0,9,17
1005,113,270,0.0,0.0,0.0,0.0,419,3.0,12.0,9,22
1005,118,270,0.0,0.0,0.0,0.0,965,8.0,8.0,9,3
1005,151,270,0.0,0.0,0.0,0.0,936,3.0,5.0,9,19
1005,131,270,5000.0,0.0,5000.0,0.0,962,5.0,65.0,9,11
1005,113,270,0.0,1000.0,0.0,1000.0,419,2.0,18.0,9,13
1005,111,270,100000.0,50000.0,100000.0,50000.0,429,5.0,168.0,9,3
1005,150,270,0.0,0.0,0.0,0.0,937,5.0,5.0,9,20
1005,142,270,0.0,0.0,0.0,0.0,900,8.0,37.0,10,20
1005,151,270,0.0,0.0,0.0,0.0,965,8.0,8.0,10,17
1005,150,270,0.0,0.0,0.0,0.0,931,8.0,0.0,10,1
1005,137,270,5000.0,0.0,5000.0,0.0,963,8.0,8.0,10,13
1005,140,270,0.0,0.0,0.0,0.0,419,7.0,4.0,10,14
1005,151,270,0.0,0.0,0.0,0.0,963,6.0,3.0,10,19
1005,118,270,0.0,0.0,0.0,0.0,215,2.0,41.0,10,11
1005,150,270,0.0,0.0,0.0,0.0,962,8.0,5.0,10,18
1005,151,270,0.0,0.0,0.0,0.0,965,6.0,4.0,10,9
1005,113,270,500.0,0.0,500.0,0.0,419,3.0,10.0,11,17
1005,151,270,0.0,0.0,0.0,0.0,936,5.0,15.0,11,14
1005,113,270,0.0,0.0,0.0,0.0,429,3.0,29.0,11,7
1005,118,270,0.0,0.0,0.0,0.0,640,6.0,27.0,12,13
1005,113,270,1000.0,0.0,1000.0,0.0,419,5.0,37.0,12,12
1008,151,C10,0.0,0.0,0.0,0.0,419,8.0,36.0,4,5
1008,150,C10,0.0,0.0,0.0,0.0,938,6.0,47.0,4,22
1008,150,C10,0.0,50.0,0.0,50.0,960,4.0,49.0,4,4
1008,150,C10,0.0,0.0,0.0,0.0,963,10.0,0.0,6,19
1008,413,18,0.0,0.0,0.0,0.0,962,4.0,9.0,7,13
1008,131,25,10000.0,2000.0,10000.0,2000.0,961,2.0,21.0,7,18
1008,151,14,0.0,0.0,0.0,0.0,931,12.0,28.0,7,5
1008,142,12,0.0,0.0,0.0,0.0,429,4.0,8.0,7,12
1008,131,6,5000.0,100.0,5000.0,100.0,961,8.0,28.0,7,17
1008,444,28,0.0,0.0,0.0,0.0,962,3.0,3.0,7,21
1008,151,12,0.0,0.0,0.0,0.0,962,4.0,2.0,7,22
1008,142,LAP,0.0,0.0,0.0,0.0,931,29.0,250.0,7,21
1008,151,22,0.0,0.0,0.0,0.0,962,4.0,1.0,7,3
1008,143,28,0.0,0.0,0.0,0.0,963,5.0,44.0,7,9
1008,143,18,0.0,0.0,1.0,1.0,962,4.0,4.0,7,12
1008,151,13,0.0,0.0,0.0,0.0,931,9.0,16.0,7,13
1008,131,19,0.0,0.0,0.0,0.0,965,6.0,3.0,7,16
1008,444,23,0.0,0.0,0.0,0.0,962,3.0,1.0,7,21
1008,143,28,0.0,0.0,0.0,0.0,951,5.0,59.0,7,21
1008,118,33,0.0,0.0,0.0,0.0,960,4.0,23.0,7,23
1008,143,22,0.0,0.0,0.0,0.0,130,4.0,46.0,7,23
1008,142,33,0.0,0.0,0.0,0.0,936,4.0,38.0,7,5
1008,151,22,0.0,0.0,0.0,0.0,131,5.0,19.0,7,6
1008,444,26,0.0,0.0,0.0,0.0,962,9.0,45.0,7,10
1008,111,13,2000.0,1000.0,2000.0,1000.0,419,5.0,5.0,7,14
1008,143,16,0.0,0.0,0.0,0.0,962,7.0,9.0,7,14
1008,151,28,0.0,0.0,0.0,0.0,962,3.0,6.0,7,17
1008,154,16,0.0,0.0,0.0,0.0,965,4.0,6.0,7,21
1008,118,6,0.0,0.0,0.0,0.0,419,3.0,5.0,7,21
1008,151,13,0.0,0.0,0.0,0.0,215,2.0,1.0,7,21
1008,142,10,0.0,0.0,0.0,0.0,963,9.0,14.0,7,21
1008,151,17,0.0,0.0,0.0,0.0,965,6.0,39.0,7,21
1008,151,25,0.0,0.0,0.0,0.0,965,3.0,4.0,7,22
1008,154,16,0.0,0.0,0.0,0.0,965,2.0,26.0,7,22
1008,151,10,0.0,0.0,0.0,0.0,960,5.0,5.0,7,22
1008,152,16,0.0,0.0,0.0,0.0,965,0.0,4.0,7,22
1008,143,32,1000.0,0.0,1000.0,0.0,931,11.0,28.0,7,21
1008,154,27,0.0,0.0,0.0,0.0,963,3.0,6.0,7,22
1008,131,6,0.0,0.0,0.0,0.0,429,3.0,1.0,7,23
1008,154,32,0.0,0.0,0.0,0.0,599,10.0,9.0,7,22
1008,162,33,0.0,1500.0,1500.0,1500.0,419,5.0,7.0,7,23
1008,142,24,20000.0,0.0,20000.0,0.0,965,1.0,82.0,7,21
1008,111,31,2000.0,500.0,2000.0,500.0,564,5.0,31.0,7,22
1008,151,27,0.0,0.0,0.0,0.0,419,5.0,3.0,7,23
1008,131,24,30000.0,0.0,30000.0,0.0,962,3.0,22.0,7,23
1008,118,24,1000.0,200.0,1000.0,200.0,419,1.0,30.0,7,23
1008,151,27,0.0,0.0,0.0,0.0,419,3.0,5.0,7,23
1008,151,29,500.0,0.0,500.0,0.0,215,5.0,11.0,7,0
1008,154,27,0.0,0.0,0.0,0.0,419,5.0,7.0,7,0
1008,154,17,100.0,0.0,100.0,0.0,419,6.0,15.0,7,1
1008,111,33,25000.0,5000.0,1000000.0,5000.0,419,3.0,130.0,7,2
1008,131,24,5000.0,500.0,5000.0,500.0,965,4.0,25.0,7,8
1008,444,LAP,0.0,0.0,0.0,0.0,419,5.0,7.0,7,10
1008,154,10,0.0,0.0,0.0,0.0,961,8.0,24.0,7,13
1008,142,24,0.0,0.0,0.0,0.0,963,5.0,57.0,7,14
1008,151,13,0.0,0.0,0.0,0.0,931,4.0,5.0,7,15
1008,412,24,0.0,0.0,0.0,0.0,419,4.0,8.0,7,16
1008,143,33,0.0,0.0,0.0,0.0,951,5.0,54.0,7,16
1008,113,11,500.0,300.0,500.0,300.0,419,4.0,4.0,7,18
1008,113,12,0.0,0.0,0.0,0.0,419,3.0,3.0,7,19
1008,151,24,1000.0,1000.0,750000.0,100000.0,419,4.0,15.0,7,19
1008,143,33,0.0,0.0,0.0,0.0,931,3.0,47.0,7,21
1008,111,29,5000.0,50000.0,3000000.0,100000.0,557,3.0,144.0,7,19
1008,444,12,0.0,0.0,0.0,0.0,962,5.0,6.0,7,8
1008,111,28,0.0,1000.0,587200.0,20000.0,429,4.0,57.0,7,12
1008,131,24,300.0,0.0,300.0,0.0,419,4.0,7.0,7,14
1008,143,33,0.0,0.0,0.0,0.0,946,5.0,69.0,7,16
1008,444,29,0.0,0.0,0.0,0.0,962,8.0,2.0,7,1
