Moran_I,p_value,FDID
,,10005
-0.004312056410166426,0.9810592265621018,10010
0.11069812936756666,0.03783900795925453,10030
0.1176909940346259,0.027503302352621942,10040
0.010786400257922575,0.8010491095654112,10045
-0.011459289871668688,0.8774008315105706,10065
0.0774507240744246,0.141166603202653,10080
0.10299682785456514,0.05287358520883998,10090
-0.06729010267467542,0.24045244351218165,10095
0.09289477259635,0.07986558295459309,10555
0.008284470511330714,0.8365574157132399,11555
-0.04151527671665066,0.4781843352236722,12010
0.0867806095359324,0.00810900194564234,12020
,,12045
0.07795392530001384,0.0005123585504681275,12060
0.046426720646628145,0.12190242111710983,12067
0.03189211057708187,0.298820133259013,12090
-0.0010969752403387825,0.9976574511947816,12110
-1.148612068321039e-05,0.9749925446819543,12135
0.09830829481997341,0.0032024126636715717,12140
,,12190
0.09905042466424228,0.011502197996058438,13005
0.1508125763056393,0.00013139662409239345,13010
,,13020
-0.002786181590436257,0.9760349064501641,13025
-0.005028751041712281,0.9311875195641057,13060
-0.013438599665677307,0.7660689919750876,14005
-0.04619428416594979,0.2631152465150781,14015
0.08546603147740033,0.0288186932276851,14042
0.08410725743246646,0.0339728761970538,14555
-0.009384930813129853,0.8436247650603057,15005
,,15010
0.026305157218413276,0.4010275083044553,15065
0.04783876649989274,0.15825267869581017,16015
-0.042083493049187716,0.7312124427024496,17020
0.008859542830864287,0.8496320518871258,17025
-0.049462501335856515,0.673947739465123,17040
-0.06816461067070877,0.5375922463505273,17055
0.07746964411907904,0.3623594807937729,17060
-0.06453661587203813,0.5629331740020583,17555
-0.04563345406067071,0.7034523488677656,18017
-0.02514775931857917,0.866640639848836,18020
0.045492029814483206,0.5666549598180264,18035
-0.02741518511791362,0.8493044745126919,18050
-0.07559875398982113,0.48498158310431594,18070
-0.07053577510160583,0.521345433454293,18075
-0.01615921000981845,0.9424351274959735,18410
-0.012923241435660919,0.9685618475572528,19005
-0.014109132386491334,0.9595207189704323,19010
-0.03315772542988365,0.802507736664832,19015
-0.04602552287797537,0.7004097477655259,19025
-0.021025435326965988,0.9008485010481757,19030
-0.03829688563567742,0.7612151696050883,19040
-0.023306023962359645,0.8831299485849835,19050
-0.07826092088056931,0.46765494853182077,19055
-0.0027199066606267384,0.94543870075293,19065
-0.0018447312026419595,0.9381504249079626,19075
0.07632748430152168,0.36872140976279055,19095
-0.061877622682537714,0.5818645205871766,19100
0.024850574872496544,0.7211163138146026,19105
-0.007826969466317613,0.9886987720152622,19110
0.01418127725203521,0.8062159385027545,19120
0.03687122718817573,0.6292617844620586,19125
,,19130
-0.08054074213690969,0.5191098692896223,19145
-0.07838021818306105,0.5322958475844815,19155
-0.08205961576415464,0.5099419814453663,19175
,,19180
0.14783915703702677,0.13572442096003728,19185
-0.08464825927030016,0.49451443651583493,19195
0.062069114761960774,0.49052322686495464,19200
-0.02071327056399167,0.9322624569538212,20005
,,20010
,,20015
-0.1588910691311632,0.16828689300310629,21010
-0.02095645977958673,0.930453855282316,21030
0.019235209970985018,0.7727790306041911,21035
-0.011602462078780348,0.9998100625810287,21045
0.22947226640631024,0.02409400104020556,21055
0.019283034497393242,0.7724366347634819,21065
0.023432480996779068,0.7429044473981148,21075
0.0038721395886077642,0.8847017079605988,21080
-0.05440356254942314,0.6890164416287878,21095
0.04723296689826587,0.581855523654396,21100
