FDID,RESPONSE_TIME,FIRE_CLEARANCE_TIME,DEPT_STA,INC_TYPE,SHIFT,PROP_VAL
3020,6.0,18.0,132,131,A,
3020,4.0,22.0,132,130,B,
3020,6.0,10.0,132,111,B,150.0
3020,8.0,49.0,132,118,B,
3020,36.0,317.0,132,111,C,
3020,3.0,4.0,132,131,C,
3020,6.0,37.0,132,111,B,
3020,2.0,8.0,132,100,A,
3020,5.0,10.0,132,151,B,0.0
3020,5.0,28.0,132,111,A,
3020,0.0,73.0,132,151,A,
3020,51.0,10.0,132,143,C,
3020,6.0,253.0,132,111,A,700000.0
3020,8.0,9.0,132,151,C,
3020,17.0,4.0,132,111,C,
3020,3.0,56.0,132,143,C,
3020,16.0,8350.0,132,140,A,
3020,9.0,29.0,132,141,B,
3020,22.0,383.0,132,140,A,
3020,6.0,30.0,132,150,A,
3020,7.0,24.0,132,143,B,
3020,6.0,17.0,132,150,C,
3020,4.0,107.0,132,131,A,
3020,7.0,32.0,132,140,A,
3020,5.0,1220.0,132,111,B,
3020,12.0,22.0,132,160,A,
3020,11.0,123.0,132,111,A,
3020,3.0,66.0,132,111,A,
3020,0.0,25.0,132,160,C,
3020,7.0,65.0,132,140,A,
3020,4.0,87.0,132,140,A,
3020,27.0,4.0,132,150,C,
3020,6.0,5.0,132,118,B,0.0
3020,5.0,22.0,132,131,B,8000.0
3020,3.0,30.0,132,143,C,
3020,6.0,28.0,132,143,B,
3020,7.0,15.0,132,131,A,
3020,10.0,17.0,132,151,C,
3020,8.0,15.0,132,150,C,
3020,4.0,128.0,132,140,A,
3020,2.0,9.0,132,154,A,
3020,8.0,86.0,132,155,A,
3020,8.0,31.0,132,132,C,
3020,5.0,33.0,132,150,C,
3020,5.0,6.0,132,150,B,
3020,8.0,7.0,132,150,C,
3020,10.0,85.0,132,140,A,
3020,6.0,15.0,132,151,A,
3020,4.0,31.0,132,140,A,
3020,0.0,70.0,132,137,A,
3022,12.0,33.0,151,160,,
3022,15.0,76.0,151,111,A,
3022,32.0,478.0,151,100,,
3022,18.0,300.0,151,160,,0.0
7090,7.0,10.0,15,131,A,100.0
7090,11.0,28.0,13,142,C,0.0
7090,13.0,19.0,14,150,C,0.0
7090,14.0,5.0,11,150,C,0.0
7090,6.0,36.0,11,100,C,2000.0
7090,4.0,17.0,14,113,A,100.0
7090,7.0,60.0,16,131,A,10000.0
7090,7.0,41.0,16,112,A,
7090,7.0,44.0,15,113,B,5.0
7090,8.0,31.0,14,112,C,
7090,11.0,21.0,13,160,B,0.0
7090,11.0,123.0,14,151,C,0.0
7090,5.0,21.0,13,100,C,0.0
7090,7.0,3.0,13,154,B,0.0
