FDID,INC_TYPE,DISTRICT,PROP_LOSS,CONT_LOSS,PROP_VAL,CONT_VAL,PROP_USE,RESPONSE_TIME,FIRE_CLEARANCE_TIME,MONTH,HOUR
1005,113,270,0.0,0.0,0.0,0.0,419,2.0,24.0,12,16
1005,150,270,0.0,0.0,0.0,0.0,900,4.0,3.0,12,1
1005,142,270,0.0,0.0,0.0,0.0,962,5.0,1.0,2,11
1005,150,270,1000.0,100.0,1000.0,100.0,931,5.0,41.0,2,14
1005,150,270,500.0,0.0,500.0,0.0,419,6.0,12.0,3,8
1005,111,270,0.0,0.0,0.0,0.0,419,4.0,15.0,3,13
1005,160,270,0.0,0.0,0.0,0.0,937,7.0,7.0,3,0
1005,118,270,0.0,0.0,0.0,0.0,931,6.0,2.0,3,10
1005,113,270,0.0,0.0,0.0,0.0,519,2.0,16.0,3,21
1005,131,270,0.0,0.0,7500.0,0.0,965,5.0,31.0,3,1
1005,113,270,0.0,700.0,830000.0,700.0,429,6.0,13.0,3,4
1005,111,270,5000.0,1000.0,5000.0,1000.0,449,5.0,33.0,4,22
1005,111,270,100.0,100.0,100.0,100.0,429,6.0,27.0,4,23
1005,111,270,0.0,0.0,0.0,0.0,419,5.0,6.0,4,15
1005,142,270,0.0,0.0,0.0,0.0,937,6.0,7.0,4,20
1005,150,270,0.0,0.0,0.0,0.0,937,3.0,13.0,4,20
1005,113,270,0.0,0.0,0.0,0.0,429,4.0,29.0,4,22
1005,111,270,10000.0,8000.0,20000.0,8000.0,419,4.0,45.0,4,14
1005,142,270,0.0,0.0,0.0,0.0,900,4.0,13.0,4,16
1005,111,270,50000.0,15000.0,50000.0,15000.0,429,3.0,203.0,5,14
1005,111,270,2000.0,2000.0,2000.0,2000.0,429,3.0,18.0,5,21
1005,151,270,0.0,0.0,0.0,0.0,124,5.0,5.0,5,20
1005,143,270,0.0,0.0,0.0,0.0,936,5.0,29.0,5,10
1005,151,270,0.0,0.0,0.0,0.0,419,4.0,7.0,5,22
1005,111,270,0.0,1000.0,0.0,1000.0,419,4.0,8.0,5,19
1005,111,270,1000.0,1000.0,1000.0,1000.0,419,7.0,54.0,5,22
1005,111,270,0.0,0.0,0.0,0.0,419,3.0,8.0,5,18
